country,model,cyl,drive,fuel,vehClass,mpg
Japan,ACURA ILX,4,2WD,Gasoline,small car,28
Japan,ACURA MDX,6,4WD,Gasoline,small SUV,27
Japan,ACURA MDX,6,2WD,Gasoline,small SUV,23
Japan,ACURA MDX,6,4WD,Gasoline,small SUV,22
Japan,ACURA MDX A-spec,6,4WD,Gasoline,small SUV,21
Japan,ACURA NSX,6,4WD,Gasoline,small car,21
Japan,ACURA RDX,4,2WD,Gasoline,small SUV,24
Japan,ACURA RDX,4,4WD,Gasoline,small SUV,23
Japan,ACURA RDX A-SPEC,4,2WD,Gasoline,small SUV,24
Japan,ACURA RDX A-SPEC,4,4WD,Gasoline,small SUV,23
Japan,ACURA RLX,6,4WD,Gasoline,midsize car,28
Japan,ACURA RLX,6,2WD,Gasoline,midsize car,23
Japan,ACURA TLX,4,2WD,Gasoline,small car,27
Japan,ACURA TLX,6,2WD,Gasoline,small car,24
Japan,ACURA TLX,6,4WD,Gasoline,small car,23
Japan,ACURA TLX AWD A-SPEC,6,4WD,Gasoline,small car,23
Japan,ACURA TLX FWD A-SPEC,4,2WD,Gasoline,small car,26
Japan,ACURA TLX FWD A-SPEC,6,2WD,Gasoline,small car,23
Italy,ALFA ROMEO 4C,4,2WD,Gasoline,small car,28
Italy,ALFA ROMEO Giulia,4,2WD,Gasoline,midsize car,27
Italy,ALFA ROMEO Giulia,6,2WD,Gasoline,midsize car,20
Italy,ALFA ROMEO Giulia AWD,4,4WD,Gasoline,midsize car,26
Italy,ALFA ROMEO Stelvio,4,2WD,Gasoline,small SUV,25
Italy,ALFA ROMEO Stelvio AWD,4,4WD,Gasoline,small SUV,24
Italy,ALFA ROMEO Stelvio AWD,6,4WD,Gasoline,small SUV,19
UK,ASTON MARTIN DB11,8,2WD,Gasoline,small car,20
UK,ASTON MARTIN DB11,12,2WD,Gasoline,small car,18
UK,ASTON MARTIN DBS,12,2WD,Gasoline,small car,17
Germany,AUDI A4,4,4WD,Gasoline,small car,27
Germany,AUDI A5,4,4WD,Gasoline,small car,27
Germany,AUDI A5 Cabriolet,4,4WD,Gasoline,small car,27
Germany,AUDI A5 Sportback quattro,4,4WD,Gasoline,midsize car,27
Germany,AUDI A6,6,4WD,Gasoline,midsize car,25
Germany,AUDI A7,6,4WD,Gasoline,midsize car,25
Germany,AUDI A8 L,6,4WD,Gasoline,large car,22
Germany,AUDI Q7,4,4WD,Gasoline,standard SUV,21
Germany,AUDI Q7,6,4WD,Gasoline,standard SUV,21
Germany,AUDI Q8,6,4WD,Gasoline,standard SUV,19
Germany,AUDI RS 5,6,4WD,Gasoline,small car,21
Germany,AUDI RS 5 Sportback,6,4WD,Gasoline,midsize car,20
Germany,AUDI S3,4,4WD,Gasoline,small car,25
Germany,AUDI S4,6,4WD,Gasoline,small car,24
Germany,AUDI S5,6,4WD,Gasoline,small car,24
Germany,AUDI S5 Cabriolet,6,4WD,Gasoline,small car,24
Germany,AUDI S5 Sportback,6,4WD,Gasoline,midsize car,24
Germany,AUDI SQ5,6,4WD,Gasoline,small SUV,21
UK,BENTLEY Bentayga,8,4WD,Gasoline,standard SUV,17
UK,BENTLEY Chiron,16,4WD,Gasoline,small car,11
UK,BENTLEY Mulsanne,8,2WD,Gasoline,midsize car,12
Germany,BMW 230i Convertible,4,2WD,Gasoline,small car,27
Germany,BMW 230i Coupe,4,2WD,Gasoline,small car,25
Germany,BMW 230i Coupe,4,2WD,Gasoline,small car,28
Germany,BMW 230i xDrive Convertible,4,4WD,Gasoline,small car,27
Germany,BMW 230i xDrive Coupe,4,4WD,Gasoline,small car,27
Germany,BMW 330i Gran Turismo,4,4WD,Gasoline,large car,27
Germany,BMW 330i Sports Wagon,4,4WD,Gasoline,station wagon,27
Germany,BMW 340i Gran Turismo,6,4WD,Gasoline,large car,23
Germany,BMW 430i Convertible,4,2WD,Gasoline,small car,27
Germany,BMW 430i Convertible,4,4WD,Gasoline,small car,26
Germany,BMW 430i Coupe,4,2WD,Gasoline,small car,25
Germany,BMW 430i Coupe,4,2WD,Gasoline,small car,27
Germany,BMW 430i Coupe,4,4WD,Gasoline,small car,27
Germany,BMW 430i Gran Coupe,4,2WD,Gasoline,small car,27
Germany,BMW 430i Gran Coupe,4,4WD,Gasoline,small car,27
Germany,BMW 440i Convertible,6,2WD,Gasoline,small car,24
Germany,BMW 440i Convertible,6,4WD,Gasoline,small car,23
Germany,BMW 440i Coupe,6,2WD,Gasoline,small car,22
Germany,BMW 440i Coupe,6,4WD,Gasoline,small car,21
Germany,BMW 440i Coupe,6,2WD,Gasoline,small car,25
Germany,BMW 440i Coupe,6,4WD,Gasoline,small car,24
Germany,BMW 440i Gran Coupe,6,2WD,Gasoline,small car,25
Germany,BMW 440i Gran Coupe,6,4WD,Gasoline,small car,24
Germany,BMW 530i,4,2WD,Gasoline,midsize car,27
Germany,BMW 530i,4,4WD,Gasoline,midsize car,27
Germany,BMW 540i,6,2WD,Gasoline,midsize car,24
Germany,BMW 540i,6,4WD,Gasoline,midsize car,24
Germany,BMW 640i Gran Coupe,6,2WD,Gasoline,small car,23
Germany,BMW 640i Gran Coupe,6,4WD,Gasoline,small car,22
Germany,BMW 640i Gran Turismo,6,4WD,Gasoline,large car,23
Germany,BMW 650i Gran Coupe,8,2WD,Gasoline,small car,21
Germany,BMW 650i Gran Coupe,8,4WD,Gasoline,small car,20
Germany,BMW 740i,6,2WD,Gasoline,large car,24
Germany,BMW 740i,6,4WD,Gasoline,large car,23
Germany,BMW 750i,8,2WD,Gasoline,large car,21
Germany,BMW 750i,8,4WD,Gasoline,large car,20
Germany,BMW Alpina B6 Gran Coupe,8,4WD,Gasoline,small car,20
Germany,BMW Alpina B7,8,4WD,Gasoline,large car,20
Germany,BMW M2 Competition,6,2WD,Gasoline,small car,19
Germany,BMW M2 Competition,6,2WD,Gasoline,small car,20
Germany,BMW M240i Convertible,6,2WD,Gasoline,small car,21
Germany,BMW M240i Convertible,6,2WD,Gasoline,small car,24
Germany,BMW M240i Convertible,6,4WD,Gasoline,small car,24
Germany,BMW M240i Coupe,6,2WD,Gasoline,small car,21
Germany,BMW M240i Coupe,6,2WD,Gasoline,small car,24
Germany,BMW M240i Coupe,6,4WD,Gasoline,small car,24
Germany,BMW M240i Coupe M Performance,6,2WD,Gasoline,small car,21
Germany,BMW M240i Coupe M Performance,6,2WD,Gasoline,small car,24
Germany,BMW M240i Coupe M Performance,6,4WD,Gasoline,small car,24
Germany,BMW M4 CS,6,2WD,Gasoline,small car,19
Germany,BMW M4 Convertible,6,2WD,Gasoline,small car,19
Germany,BMW M4 Convertible,6,2WD,Gasoline,small car,20
Germany,BMW M4 Convertible Competition,6,2WD,Gasoline,small car,19
Germany,BMW M4 Convertible Competition,6,2WD,Gasoline,small car,20
Germany,BMW M4 Coupe,6,2WD,Gasoline,small car,19
Germany,BMW M4 Coupe,6,2WD,Gasoline,small car,20
Germany,BMW M4 Coupe Competition,6,2WD,Gasoline,small car,19
Germany,BMW M4 Coupe Competition,6,2WD,Gasoline,small car,20
Germany,BMW M5,8,4WD,Gasoline,midsize car,17
Germany,BMW M5 Competition,8,4WD,Gasoline,midsize car,17
Germany,BMW M550i,8,4WD,Gasoline,midsize car,20
Germany,BMW M6 Gran Coupe,8,2WD,Gasoline,small car,16
Germany,BMW M6 Gran Coupe,8,2WD,Gasoline,small car,17
Germany,BMW M760i xDrive,12,4WD,Gasoline,large car,16
Germany,BMW X3 M40i,6,4WD,Gasoline,small SUV,23
Germany,BMW X3 sDrive30i,4,2WD,Gasoline,small SUV,26
Germany,BMW X3 xDrive30i,4,4WD,Gasoline,small SUV,25
Germany,BMW X4 M40i,6,4WD,Gasoline,small SUV,23
Germany,BMW X4 xDrive30i,4,4WD,Gasoline,small SUV,25
Germany,BMW X5 xDrive40i,6,4WD,Gasoline,standard SUV,22
Germany,BMW X5 xDrive50i,8,4WD,Gasoline,standard SUV,19
Germany,BMW X6 M,8,4WD,Gasoline,standard SUV,16
Germany,BMW X6 sDrive35i,6,2WD,Gasoline,standard SUV,20
Germany,BMW X6 xDrive35i,6,4WD,Gasoline,standard SUV,20
Germany,BMW X6 xDrive50i,8,4WD,Gasoline,standard SUV,19
Germany,BMW i3,N/A,2WD,Electricity,small car,113
Germany,BMW i3s,N/A,2WD,Electricity,small car,113
US,BUICK Enclave,6,2WD,Gasoline,standard SUV,21
US,BUICK Enclave,6,4WD,Gasoline,standard SUV,20
US,BUICK Encore,4,2WD,Gasoline,small SUV,28
US,BUICK Encore,4,2WD,Gasoline,small SUV,27
US,BUICK Encore,4,4WD,Gasoline,small SUV,27
US,BUICK Encore,4,4WD,Gasoline,small SUV,26
US,BUICK Envision,4,4WD,Gasoline,small SUV,22
US,BUICK Envision,4,2WD,Gasoline,small SUV,25
US,BUICK Envision,4,4WD,Gasoline,small SUV,24
US,BUICK Lacrosse,4,2WD,Gasoline,midsize car,29
US,BUICK Lacrosse,6,2WD,Gasoline,midsize car,24
US,BUICK Lacrosse,6,4WD,Gasoline,midsize car,23
US,BUICK Regal,4,4WD,Gasoline,midsize car,24
US,BUICK Regal,4,2WD,Gasoline,midsize car,26
US,BUICK Regal,6,4WD,Gasoline,midsize car,22
US,BUICK Regal Tour X,4,4WD,Gasoline,station wagon,24
US,CADILLAC ATS,4,2WD,Gasoline,small car,25
US,CADILLAC ATS,4,4WD,Gasoline,small car,24
US,CADILLAC ATS,6,2WD,Gasoline,small car,23
US,CADILLAC ATS,6,4WD,Gasoline,small car,21
US,CADILLAC ATS-V,6,2WD,Gasoline,small car,19
US,CADILLAC ATS-V,6,2WD,Gasoline,small car,20
US,CADILLAC CT6,4,2WD,Gasoline,large car,28
US,CADILLAC CT6,6,4WD,Gasoline,large car,21
US,CADILLAC CT6,6,4WD,Gasoline,large car,21
US,CADILLAC CTS,4,2WD,Gasoline,midsize car,25
US,CADILLAC CTS,4,4WD,Gasoline,midsize car,24
US,CADILLAC CTS,6,2WD,Gasoline,midsize car,19
US,CADILLAC CTS,6,2WD,Gasoline,midsize car,23
US,CADILLAC CTS,6,4WD,Gasoline,midsize car,21
US,CADILLAC CTS-V,8,2WD,Gasoline,midsize car,16
US,CADILLAC Escalade,8,2WD,Gasoline,standard SUV,17
US,CADILLAC Escalade,8,4WD,Gasoline,standard SUV,17
US,CADILLAC XT4,4,2WD,Gasoline,small SUV,26
US,CADILLAC XT4,4,4WD,Gasoline,small SUV,24
US,CADILLAC XT5,6,2WD,Gasoline,small SUV,22
US,CADILLAC XT5,6,4WD,Gasoline,small SUV,21
US,CADILLAC XTS,6,2WD,Gasoline,large car,22
US,CADILLAC XTS,6,2WD,Gasoline,large car,22
US,CADILLAC XTS,6,4WD,Gasoline,large car,18
US,CADILLAC XTS,6,4WD,Gasoline,large car,20
US,CADILLAC XTS Limo,6,2WD,Gasoline,special purpose,17
US,CHEVROLET Bolt EV,N/A,2WD,Electricity,station wagon,119
US,CHEVROLET Camaro,4,2WD,Gasoline,small car,23
US,CHEVROLET Camaro,4,2WD,Gasoline,small car,25
US,CHEVROLET Camaro,6,2WD,Gasoline,small car,20
US,CHEVROLET Camaro,6,2WD,Gasoline,small car,22
US,CHEVROLET Camaro,8,2WD,Gasoline,small car,16
US,CHEVROLET Camaro,8,2WD,Gasoline,small car,19
US,CHEVROLET Camaro,8,2WD,Gasoline,small car,16
US,CHEVROLET Camaro,8,2WD,Gasoline,small car,20
US,CHEVROLET Colorado,4,2WD,Gasoline,pickup,22
US,CHEVROLET Colorado,4,4WD,Gasoline,pickup,21
US,CHEVROLET Colorado,4,2WD,Gasoline,pickup,22
US,CHEVROLET Colorado,4,2WD,Diesel,pickup,23
US,CHEVROLET Colorado,4,4WD,Diesel,pickup,22
US,CHEVROLET Colorado,6,2WD,Gasoline,pickup,20
US,CHEVROLET Colorado,6,2WD,Gasoline,special purpose,15
US,CHEVROLET Colorado,6,4WD,Gasoline,pickup,19
US,CHEVROLET Colorado ZR2,4,4WD,Diesel,pickup,19
US,CHEVROLET Colorado ZR2,6,4WD,Gasoline,pickup,17
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,15
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,17
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,19
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,15
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,17
US,CHEVROLET Corvette,8,2WD,Gasoline,small car,18
US,CHEVROLET Cruze,4,2WD,Gasoline,small car,33
US,CHEVROLET Cruze,4,2WD,Gasoline,small car,32
US,CHEVROLET Cruze,4,2WD,Diesel,small car,37
US,CHEVROLET Cruze Hatchback,4,2WD,Gasoline,midsize car,32
US,CHEVROLET Cruze Hatchback,4,2WD,Diesel,midsize car,35
US,CHEVROLET Cruze Premier,4,2WD,Gasoline,small car,32
US,CHEVROLET Cruze Premier Hatchback,4,2WD,Gasoline,midsize car,31
US,CHEVROLET Equinox,4,2WD,Gasoline,small SUV,28
US,CHEVROLET Equinox,4,4WD,Gasoline,small SUV,27
US,CHEVROLET Equinox,4,2WD,Diesel,small SUV,32
US,CHEVROLET Equinox,4,4WD,Diesel,small SUV,32
US,CHEVROLET Equinox,4,2WD,Gasoline,small SUV,25
US,CHEVROLET Equinox,4,4WD,Gasoline,small SUV,24
US,CHEVROLET Impala,4,2WD,Gasoline,large car,25
US,CHEVROLET Impala,6,2WD,Gasoline,large car,22
US,CHEVROLET Malibu,4,2WD,Gasoline,midsize car,32
US,CHEVROLET Malibu,4,2WD,Gasoline,midsize car,32
US,CHEVROLET Malibu,4,2WD,Gasoline,midsize car,46
US,CHEVROLET Malibu,4,2WD,Gasoline,midsize car,26
US,CHEVROLET Silverado 10,4,2WD,Gasoline,pickup,20
US,CHEVROLET Silverado 10,4,2WD,Gasoline,pickup,21
US,CHEVROLET Silverado 10,4,4WD,Gasoline,pickup,19
US,CHEVROLET Silverado 10,4,4WD,Gasoline,pickup,20
US,CHEVROLET Silverado 10,6,2WD,Gasoline,pickup,17
US,CHEVROLET Silverado 10,6,2WD,Gasoline,special purpose,17
US,CHEVROLET Silverado 10,6,4WD,Gasoline,pickup,17
US,CHEVROLET Silverado 10,6,4WD,Gasoline,special purpose,15
US,CHEVROLET Silverado 10,8,2WD,Gasoline,pickup,17
US,CHEVROLET Silverado 10,8,2WD,Gasoline,special purpose,16
US,CHEVROLET Silverado 10,8,4WD,Gasoline,pickup,17
US,CHEVROLET Silverado 10,8,4WD,Gasoline,special purpose,15
US,CHEVROLET Silverado 10,8,2WD,Gasoline,pickup,19
US,CHEVROLET Silverado 10,8,2WD,Gasoline,pickup,19
US,CHEVROLET Silverado 10,8,4WD,Gasoline,pickup,18
US,CHEVROLET Silverado 10,8,4WD,Gasoline,pickup,17
US,CHEVROLET Silverado 10 Trail Boss,6,4WD,Gasoline,pickup,16
US,CHEVROLET Silverado 10 Trail Boss,8,4WD,Gasoline,pickup,16
US,CHEVROLET Silverado 10 Trail Boss,8,4WD,Gasoline,pickup,17
US,CHEVROLET Silverado 15 LD,8,2WD,Gasoline,pickup,17
US,CHEVROLET Silverado 15 LD,8,4WD,Gasoline,pickup,17
US,CHEVROLET Sonic,4,2WD,Gasoline,small car,31
US,CHEVROLET Sonic,4,2WD,Gasoline,small car,29
US,CHEVROLET Sonic 5,4,2WD,Gasoline,station wagon,29
US,CHEVROLET Sonic 5,4,2WD,Gasoline,station wagon,29
US,CHEVROLET Spark,4,2WD,Gasoline,small car,33
US,CHEVROLET Spark,4,2WD,Gasoline,small car,33
US,CHEVROLET Spark Activ,4,2WD,Gasoline,small car,33
US,CHEVROLET Spark Activ,4,2WD,Gasoline,small car,32
US,CHEVROLET Suburban 1500,8,2WD,Gasoline,standard SUV,18
US,CHEVROLET Suburban 1500,8,4WD,Gasoline,standard SUV,16
US,CHEVROLET Suburban 1500,8,2WD,Gasoline,standard SUV,17
US,CHEVROLET Suburban 1500,8,4WD,Gasoline,standard SUV,16
US,CHEVROLET Tahoe 1500,8,2WD,Gasoline,standard SUV,18
US,CHEVROLET Tahoe 1500,8,4WD,Gasoline,standard SUV,17
US,CHEVROLET Tahoe 1500,8,2WD,Gasoline,standard SUV,17
US,CHEVROLET Tahoe 1500,8,4WD,Gasoline,standard SUV,17
US,CHEVROLET Traverse,4,2WD,Gasoline,standard SUV,22
US,CHEVROLET Traverse,6,2WD,Gasoline,standard SUV,21
US,CHEVROLET Traverse,6,4WD,Gasoline,standard SUV,20
US,CHEVROLET Trax,4,2WD,Gasoline,small SUV,28
US,CHEVROLET Trax,4,4WD,Gasoline,small SUV,26
US,CHRYSLER 300,6,2WD,Gasoline,large car,23
US,CHRYSLER 300,6,4WD,Gasoline,large car,21
US,CHRYSLER 300,8,2WD,Gasoline,large car,19
US,CHRYSLER Pacifica,6,2WD,Gasoline,minivan,22
US,CHRYSLER Pacifica,6,2WD,Gasoline,minivan,22
US,DODGE Challenger,6,2WD,Gasoline,midsize car,23
US,DODGE Challenger,8,2WD,Gasoline,midsize car,19
US,DODGE Challenger,8,2WD,Gasoline,midsize car,18
US,DODGE Challenger,8,2WD,Gasoline,midsize car,18
US,DODGE Challenger,8,2WD,Gasoline,midsize car,17
US,DODGE Challenger GT,6,4WD,Gasoline,midsize car,21
US,DODGE Challenger SRT,8,2WD,Gasoline,midsize car,16
US,DODGE Challenger SRT,8,2WD,Gasoline,midsize car,16
US,DODGE Charger,6,2WD,Gasoline,large car,23
US,DODGE Charger,6,4WD,Gasoline,large car,21
US,DODGE Charger,8,2WD,Gasoline,large car,19
US,DODGE Charger,8,2WD,Gasoline,large car,18
US,DODGE Charger SRT,8,2WD,Gasoline,large car,16
US,DODGE Durango,6,2WD,Gasoline,standard SUV,21
US,DODGE Durango,6,4WD,Gasoline,standard SUV,21
US,DODGE Durango,8,2WD,Gasoline,standard SUV,17
US,DODGE Durango,8,4WD,Gasoline,standard SUV,17
US,DODGE Durango  SRT,8,4WD,Gasoline,standard SUV,15
US,DODGE Grand Caravan,6,2WD,Gasoline,minivan,20
US,FERRARI 488 Pista,8,2WD,Gasoline,small car,17
US,FERRARI 488 Pista Spider,8,2WD,Gasoline,small car,17
US,FERRARI 488 Spider,8,2WD,Gasoline,small car,18
US,FERRARI 488 Spider,8,2WD,Gasoline,small car,18
US,FERRARI 488 gtb,8,2WD,Gasoline,small car,18
US,FERRARI 488 gtb,8,2WD,Gasoline,small car,18
US,FERRARI 812 Superfast,12,2WD,Gasoline,small car,13
US,FERRARI GTC4Lusso,12,4WD,Gasoline,small car,13
US,FERRARI GTC4Lusso T,8,2WD,Gasoline,small car,17
US,FERRARI Portofino,8,2WD,Gasoline,small car,18
US,FIAT 124 Spider,4,2WD,Gasoline,small car,29
US,FIAT 124 Spider,4,2WD,Gasoline,small car,30
US,FIAT 500L,4,2WD,Gasoline,station wagon,25
US,FORD EcoSport,3,2WD,Gasoline,small SUV,28
US,FORD EcoSport,4,4WD,Gasoline,small SUV,25
US,FORD Edge,4,2WD,Gasoline,small SUV,25
US,FORD Edge,4,4WD,Gasoline,small SUV,23
US,FORD Edge,6,4WD,Gasoline,small SUV,21
US,FORD Escape,4,2WD,Gasoline,small SUV,26
US,FORD Escape,4,4WD,Gasoline,small SUV,24
US,FORD Escape,4,2WD,Gasoline,small SUV,25
US,FORD Escape,4,4WD,Gasoline,small SUV,23
US,FORD Escape,4,2WD,Gasoline,small SUV,24
US,FORD Expedition,6,2WD,Gasoline,standard SUV,20
US,FORD Expedition,6,4WD,Gasoline,standard SUV,19
US,FORD Expedition MAX,6,2WD,Gasoline,standard SUV,19
US,FORD Expedition MAX,6,4WD,Gasoline,standard SUV,18
US,FORD Explorer,4,2WD,Gasoline,standard SUV,22
US,FORD Explorer,4,4WD,Gasoline,standard SUV,21
US,FORD Explorer,6,2WD,Gasoline,standard SUV,20
US,FORD Explorer,6,4WD,Gasoline,standard SUV,18
US,FORD Explorer,6,4WD,Gasoline,standard SUV,19
US,FORD F150,6,2WD,Gasoline,pickup,21
US,FORD F150,6,2WD,Gasoline,pickup,21
US,FORD F150,6,2WD,Gasoline,pickup,22
US,FORD F150,6,4WD,Gasoline,pickup,20
US,FORD F150,6,4WD,Gasoline,pickup,21
US,FORD F150,6,2WD,Diesel,pickup,24
US,FORD F150,6,2WD,Diesel,pickup,25
US,FORD F150,6,4WD,Diesel,pickup,22
US,FORD F150,6,2WD,Gasoline,pickup,19
US,FORD F150,6,2WD,Gasoline,pickup,19
US,FORD F150,6,2WD,Gasoline,pickup,21
US,FORD F150,6,4WD,Gasoline,pickup,18
US,FORD F150,6,4WD,Gasoline,pickup,18
US,FORD F150,6,4WD,Gasoline,pickup,19
US,FORD F150 Limited,6,2WD,Gasoline,pickup,19
US,FORD F150 Limited,6,4WD,Gasoline,pickup,19
US,FORD F150 Raptor,6,4WD,Gasoline,pickup,16
US,FORD F150 XL/XLT,6,4WD,Diesel,pickup,24
US,FORD Fiesta,4,2WD,Gasoline,small car,31
US,FORD Fiesta,4,2WD,Gasoline,small car,30
US,FORD Fiesta ST,4,2WD,Gasoline,small car,28
US,FORD Flex,6,2WD,Gasoline,standard SUV,19
US,FORD Flex,6,4WD,Gasoline,standard SUV,17
US,FORD Flex,6,4WD,Gasoline,standard SUV,18
US,FORD Fusion,4,2WD,Gasoline,midsize car,27
US,FORD Fusion,4,2WD,Gasoline,midsize car,25
US,FORD Fusion,4,4WD,Gasoline,midsize car,23
US,FORD Fusion,4,2WD,Gasoline,midsize car,25
US,FORD Fusion,6,4WD,Gasoline,midsize car,20
US,FORD Fusion Hybrid,4,2WD,Gasoline,midsize car,42
US,FORD Fusion Hybrid Taxi,4,2WD,Gasoline,midsize car,41
US,FORD GT,6,2WD,Gasoline,small car,14
US,FORD Mustang,4,2WD,Gasoline,small car,25
US,FORD Mustang,4,2WD,Gasoline,small car,25
US,FORD Mustang,8,2WD,Gasoline,small car,18
US,FORD Mustang,8,2WD,Gasoline,small car,19
US,FORD Mustang Bullitt,8,2WD,Gasoline,small car,18
US,FORD Mustang Convertible,4,2WD,Gasoline,small car,23
US,FORD Mustang Convertible,4,2WD,Gasoline,small car,23
US,FORD Mustang Convertible,8,2WD,Gasoline,small car,18
US,FORD Mustang Performance Package,4,2WD,Gasoline,small car,23
US,FORD Mustang Performance Package,4,2WD,Gasoline,small car,23
US,FORD Taurus,6,2WD,Gasoline,large car,21
US,FORD Taurus,6,4WD,Gasoline,large car,19
US,FORD Taurus,6,4WD,Gasoline,large car,19
US,FORD Transit Connect,4,2WD,Gasoline,special purpose,25
US,FORD Transit Connect,4,2WD,Gasoline,special purpose,26
US,FORD Transit Connect,4,2WD,Gasoline,special purpose,22
US,FORD Transit Connect,4,2WD,Gasoline,special purpose,22
US,FORD Transit Connect USPS,4,2WD,Gasoline,special purpose,22
US,FORD Transit T150,6,2WD,Gasoline,van,16
US,FORD Transit T150,6,2WD,Gasoline,van,15
Korea,GENESIS G70,4,2WD,Gasoline,small car,22
Korea,GENESIS G70,4,2WD,Gasoline,small car,25
Korea,GENESIS G70,4,4WD,Gasoline,small car,23
Korea,GENESIS G70,6,2WD,Gasoline,small car,21
Korea,GENESIS G70,6,4WD,Gasoline,small car,20
Korea,GENESIS G80,6,2WD,Gasoline,large car,20
Korea,GENESIS G80,6,4WD,Gasoline,large car,20
Korea,GENESIS G80,6,2WD,Gasoline,large car,21
Korea,GENESIS G80,6,4WD,Gasoline,large car,20
Korea,GENESIS G80,8,2WD,Gasoline,large car,19
Korea,GENESIS G80,8,4WD,Gasoline,large car,18
Korea,GENESIS G90,6,2WD,Gasoline,large car,20
Korea,GENESIS G90,6,4WD,Gasoline,large car,20
Korea,GENESIS G90,8,2WD,Gasoline,large car,19
Korea,GENESIS G90,8,4WD,Gasoline,large car,18
US,GMC Acadia,4,2WD,Gasoline,standard SUV,23
US,GMC Acadia,4,4WD,Gasoline,standard SUV,22
US,GMC Acadia,6,2WD,Gasoline,standard SUV,21
US,GMC Acadia,6,4WD,Gasoline,standard SUV,20
US,GMC Canyon,4,2WD,Gasoline,pickup,22
US,GMC Canyon,4,4WD,Gasoline,pickup,21
US,GMC Canyon,4,2WD,Gasoline,pickup,22
US,GMC Canyon,4,2WD,Diesel,pickup,23
US,GMC Canyon,4,4WD,Diesel,pickup,22
US,GMC Canyon,6,2WD,Gasoline,pickup,20
